type,adress,price,link_image
Balanciaga 3XL,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5552640_uploaded_image1_1759323253.jpg
Baskets Jordan 4 RM,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5567808_uploaded_image1_1760100111.jpg
Baskets Nike TN ,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5567803_uploaded_image1_1760099855.jpg
Baskets Air Max 95,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5567806_uploaded_image1_1760100010.jpg
Baskets Asic 1130,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5571618_uploaded_image1_1760357347.jpg
Baskets New Balance fresh foam,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5552446_uploaded_image1_1759318432.jpg
Baskets New Balance fresh foam,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5552449_uploaded_image1_1759318532.jpg
Baskets Adidas adizero ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5552010_uploaded_image1_1759307377.jpg
Baskets Adidas adizero ,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5552006_uploaded_image1_1759307290.jpg
New balance 1906,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5580643_uploaded_image1_1760827489.jpg
New Balance ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5580645_uploaded_image1_1760827559.jpg
Chaussures Balenciaga,"Dakar Plateau, Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5593164_uploaded_image1_1761605705.jpg
Nike shox R4,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5570882_uploaded_image1_1760305854.jpg
Baskets Adidas campus,"Dakar, Sénégal",17 000CFA,https://images.coinafrique.com/thumb_5551113_uploaded_image1_1759265168.jpg
Baskets Adidas Adizero,"Dakar, Sénégal",27 000CFA,https://images.coinafrique.com/thumb_5550760_uploaded_image1_1759250198.jpg
Baskets Nike TN,"Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Baskets New Balance 740,"Dakar, Sénégal",24 000CFA,https://images.coinafrique.com/thumb_5589017_uploaded_image1_1761305990.jpg
Baskets Nike Air force 1,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588993_uploaded_image1_1761304542.jpg
Baskets Asic,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5588722_uploaded_image1_1761293983.jpg
Nike Air Max ,"Dakar, Sénégal",25 000CFA,https://images.coinafrique.com/thumb_5555902_uploaded_image1_1759447574.jpg
Baskets Air force montante ,"Dakar, Sénégal",18 000CFA,https://images.coinafrique.com/thumb_5549311_uploaded_image1_1759187054.jpg
