type,adress,price,link_image
Costume africain,"Guediawaye, Dakar, Sénégal",75 000CFA,https://images.coinafrique.com/thumb_5565386_uploaded_image1_1759971775.jpg
Caleçons,"Keur Massar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5563903_uploaded_image1_1759891202.jpg
T-shirt en coton,"Dakar Plateau, Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5561956_uploaded_image1_1759797106.jpg
Costume africain ,"Parcelle Assainies, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5560169_uploaded_image1_1759703026.jpg
Ensemble Guess jacket 2 pièces,"Mermoz-Sacré Coeur, Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5560120_uploaded_image1_1759699756.jpg
Pull Zara en fourrure,"Mermoz-Sacré Coeur, Dakar, Sénégal",5 000CFA,https://images.coinafrique.com/thumb_5560072_uploaded_image1_1759698131.jpg
Lacostes homme,"Sicap Liberté, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5553349_uploaded_image1_1759343446.jpg
Lacostes en coton venant de la turquie ,"Sicap Liberté, Dakar, Sénégal",12 000CFA,https://images.coinafrique.com/thumb_5553333_uploaded_image1_1759343010.jpg
Ensemble Short,"Dakar Plateau, Dakar, Sénégal",9 500CFA,https://images.coinafrique.com/thumb_5549382_uploaded_image1_1759190460.jpg
Boubou africain homme,"Gueule Tapée, Dakar, Sénégal",20 000CFA,https://images.coinafrique.com/thumb_5544660_uploaded_image1_1758889073.jpg
Chemise africaine,"Ouest Foire, Dakar, Sénégal",13 000CFA,https://images.coinafrique.com/thumb_5539551_uploaded_image2_1758628464.jpeg
Jallabe homme ,"Fass, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5481158_uploaded_image1_1755533660.jpg
Polo ,"Pikine, Sénégal",5 500CFA,https://images.coinafrique.com/thumb_5530347_uploaded_image1_1758116944.jpg
Jalabe  royale,"Guediawaye, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5530302_uploaded_image1_1758114976.jpg
Chemises homme,"Guediawaye, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5528639_uploaded_image1_1758039595.jpg
Costume africaine ,"Mbao, Dakar, Sénégal",30 000CFA,https://images.coinafrique.com/thumb_5528446_uploaded_image1_1758031889.jpg
